year,first_author,title,venue_tag,relevance,doi_or_source,local_pdf,notes
2024,Quinn,AR Visualization Techniques for Attention Guidance to Out-of-View Objects A Systematic Review,IEEE ISMAR 2024 - Main Conference,review,https://doi.org/10.1109/ISMAR62088.2024.00098,,Primary citation-chaining source
2025,Yu,The Cost of Virtuality Switching Searching for Physical and Virtual Targets in Optical-See-Through AR,IEEE ISMAR 2025 - Main Conference,direct-search,https://doi.org/10.1109/ISMAR67309.2025.00168,,Physical and virtual target switching
2025,Choi,Distance-Adaptive Visual Guidance for Spatial Awareness Formation in Out-of-View AR,IEEE ISMAR 2025 - Adjunct,guidance,https://doi.org/10.1109/ISMAR-Adjunct68609.2025.00024,,Distance-adaptive cue design
2025,Kumaran,Scene Awareness While Using Multiple Navigation Aids in AR Search,IEEE ISMAR 2025 - Adjunct Poster,guidance,https://sites.cs.ucsb.edu/~holl/pubs/Kumaran-2025-ISMARPoster.pdf,2025-kumaran-scene-awareness-navigation-aids.pdf,Arrows and radar with scene recall
2017,Hoeg,Binaural Sound Reduces Reaction Time in a Virtual Reality Search Task,IEEE VR 2017 - SIVE Workshop,direct-search,https://doi.org/10.1109/SIVE.2017.7901610,,360-degree search with spatial audio
2018,Ariza,Analysis of Proximity-Based Multimodal Feedback for 3D Selection in Immersive Virtual Environments,IEEE VR 2018 - Main Conference,proximity-selection,https://doi.org/10.1109/VR.2018.8446317,,Binary versus continuous proximity feedback
2019,Trepkowski,The Effect of Narrow Field of View and Information Density on Visual Search Performance in Augmented Reality,IEEE VR 2019 - Main Conference,direct-search,https://doi.org/10.1109/VR.2019.8798312,2019-trepkowski-fov-density-search.pdf,FOV set size and density
2020,Wallgrun,A Comparison of Visual Attention Guiding Approaches for 360-Degree Image-Based VR Tours,IEEE VR 2020 - Main Conference,guidance,https://doi.org/10.1109/VR46266.2020.00026,,Attention guidance in panoramic VR
2020,Asadi,Drone-Based Augmented Reality Platform for Bridge Inspection Effect of AR Cue Design on Visual Search Tasks,IEEE VR 2020 - Abstracts and Workshops,direct-search,https://doi.org/10.1109/VRW50115.2020.00043,,Applied defect search
2021,Drouot,Effect of Context and Distance Switching on Visual Performances in Augmented Reality,IEEE VR 2021 - Abstracts and Workshops,direct-search,https://doi.org/10.1109/VRW52623.2021.00120,,Real-virtual context and focal distance
2025,Tosa,ChromaGazer Unobtrusive Visual Modulation Using Imperceptible Color Vibration for Visual Guidance,IEEE VR 2025 - TVCG Journal Paper,guidance,https://doi.org/10.1109/TVCG.2025.3549173,,Subtle gaze guidance
2025,Hu,Optimizing Moving Target Selection in VR by Integrating Proximity-Based Feedback Types and Modalities,IEEE VR 2025 - Main Conference,proximity-selection,https://doi.org/10.1109/VR59515.2025.00030,2025-hu-proximity-moving-target-selection.pdf,Binary continuous and partial visual audio haptic feedback
2025,Kelley,Cuing Multiple Targets for Visual Search in Virtual Reality,IEEE VR 2025 - Abstracts and Workshops,direct-search,https://doi.org/10.1109/VRW66409.2025.00257,,Gaze-line arrow wedge and no-cue conditions
2026,Kaschub,Comparing Referential Interactions with an Intelligent Assistant in Virtual Reality,IEEE VR 2026 - Main Conference,agent-reference,https://doi.org/10.1109/VR67842.2026.00066,,Speech gaze and pointing references
2019,Zhao,SeeingVR A Set of Tools to Make Virtual Reality More Accessible to People with Low Vision,ACM CHI 2019 - Main Conference,direct-search,https://doi.org/10.1145/3290605.3300341,2019-zhao-seeingvr.pdf,Includes a VR visual-search task
2023,Kumaran,The Impact of Navigation Aids on Search Performance and Object Recall in Wide-Area Augmented Reality,ACM CHI 2023 - Main Conference,direct-search,https://doi.org/10.1145/3544548.3581413,2023-kumaran-navigation-aids-search-recall.pdf,Compass radar arrows gaze and recall
2024,Liao,The Sense of Agency Improves Visual Search and Holds Up Against External Salient Distractions in VR,ACM CHI 2024 - Extended Abstracts,direct-search,https://doi.org/10.1145/3613905.3652006,,Agency and salient distraction
2025,Kim,On the Go with AR Attention to Virtual and Physical Targets While Varying Augmentation Density,ACM CHI 2025 - Main Conference,direct-search,https://doi.org/10.1145/3706598.3714289,2025-kim-on-the-go-ar.pdf,Physical and virtual search under density changes
2026,Tsai,Uncertain Pointer Situated Feedforward Visualizations for Ambiguity-Aware AR Target Selection,ACM CHI 2026 - Main Conference,proximity-selection,https://doi.org/10.1145/3772318.3790329,,Target ambiguity and feedforward visualization
2022,Warden,Visual Search in Augmented Reality Effect of Target Cue Type and Location,HFES 2022,direct-search,https://doi.org/10.1177/1071181322661260,,Seated 180-degree physical-object search
2024,Slavuljica,NeighboAR Efficient Object Retrieval Using Proximity- and Gaze-Based Object Grouping with an AR System,PACM HCI ETRA 2024,proximity-retrieval,https://doi.org/10.1145/3655599,2024-slavuljica-neighboar.pdf,Thirty-centimeter proximity graph and gaze-dwell landmark
2025,Hidayat,Evaluating Spatial Decision-Making and Player Experience in a Remote Multiplayer AR Hide-and-Seek Game,Multimodal Technologies and Interaction 2025,direct-search,https://doi.org/10.3390/mti9080079,,Human-provided verbal hot-cold cues
2023,Warden,Fast Accurate but Sometimes Too-Compelling Support The Impact of Imperfectly Automated Cues in AR,IEEE THMS 2023,direct-search,https://doi.org/10.1109/THMS.2023.3302152,,Cue reliability and automation bias
